                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.23234,                0.29025,                0.17589,                0.84415,                0.97687,                0.95807,                0.96264,                0.96219,                0.95911,                0.94033,                0.93618,                0.93434,                0.14425,                0.34009,                0.13808,                0.77446,             0.00016972,             0.00016972,             0.00016972
                     80,                0.23358,                0.29101,                0.17655,                0.84674,                0.96034,                0.94294,                0.96038,                0.95972,                0.94254,                0.92521,                0.93551,                 0.9279,                0.14507,                0.32551,                0.16457,                0.77508,             0.00016265,             0.00016265,             0.00016265
                     81,                0.23314,                0.28869,                0.17886,                0.84564,                0.96885,                0.92926,                0.96361,                0.96273,                0.95111,                0.91153,                 0.9354,                 0.9325,                0.14816,                0.31026,                0.14775,                0.77579,             0.00015558,             0.00015558,             0.00015558
                     82,                0.23401,                0.28646,                0.17575,                0.84535,                0.96107,                 0.9348,                0.97729,                0.97502,                0.94348,                0.91703,                0.95495,                0.94728,                 0.1466,                0.30705,                0.15028,                0.77541,             0.00014851,             0.00014851,             0.00014851
                     83,                0.23317,                0.28527,                0.17491,                0.84488,                0.93654,                 0.9163,                0.95393,                 0.9533,                 0.9186,                0.89867,                0.93325,                   0.93,                0.14696,                0.27226,                0.13753,                0.77609,             0.00014144,             0.00014144,             0.00014144
                     84,                0.23152,                0.28081,                0.17674,                0.84444,                0.98511,                0.95626,                0.96401,                0.96327,                0.96735,                0.93853,                0.93722,                0.93387,                0.14975,                0.32518,                0.13266,                0.77835,             0.00013437,             0.00013437,             0.00013437
                     85,                0.23311,                0.28707,                0.17432,                0.84246,                0.96063,                0.93517,                0.97728,                0.97512,                0.94151,                0.91641,                0.95157,                0.94438,                0.14476,                0.35925,                0.14033,                0.77458,             0.00012731,             0.00012731,             0.00012731
                     86,                0.22889,                0.28528,                0.17156,                0.84386,                0.94747,                0.95674,                0.97336,                 0.9713,                0.92854,                0.93806,                0.94514,                0.94183,                0.14519,                0.29421,                0.13359,                0.77521,             0.00012024,             0.00012024,             0.00012024
                     87,                0.23448,                0.29408,                 0.1723,                0.84499,                0.95284,                0.95832,                0.96807,                0.96672,                 0.9351,                0.94057,                0.94386,                0.93947,                0.14638,                0.31787,                0.12877,                0.77509,             0.00011317,             0.00011317,             0.00011317
                     88,                0.22998,                0.28528,                0.16978,                0.84418,                0.96214,                0.95797,                0.98082,                0.97838,                0.94434,                0.94024,                 0.9516,                0.94728,                0.14485,                 0.3076,                0.14052,                0.77459,              0.0001061,              0.0001061,              0.0001061
                     89,                0.22914,                0.28242,                0.17106,                0.84354,                0.96678,                0.95293,                0.97726,                 0.9753,                0.94996,                 0.9346,                0.94947,                0.94412,                0.14388,                0.30035,                0.14089,                0.77412,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.22728,                0.28367,                 0.1687,                0.84408,                0.98089,                 0.9372,                0.98075,                0.97845,                0.96305,                0.91947,                0.96236,                0.95538,                 0.1463,                0.31258,                0.14223,                0.77516,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.18841,                0.25812,                0.16201,                0.79153,                0.97057,                0.94839,                0.98556,                0.98266,                0.95386,                0.93173,                0.95993,                0.94996,                0.14852,                0.31197,                 0.1315,                0.77585,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.17806,                0.23054,                0.13357,                0.78483,                 0.9563,                0.91906,                0.98452,                0.98165,                0.93742,                0.90023,                0.95637,                0.94919,                0.14288,                0.33215,                0.13942,                0.77497,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.17603,                0.22604,                0.12929,                0.78807,                0.96584,                0.93571,                0.98496,                0.98452,                0.94887,                0.91814,                0.95846,                0.95376,                  0.143,                0.33645,                0.13433,                0.77462,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.17602,                0.22153,                0.12463,                0.78666,                0.97464,                0.95635,                0.98488,                0.98249,                0.95573,                 0.9375,                0.95547,                0.95079,                0.14059,                0.43278,                0.13226,                0.77393,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.17429,                0.22005,                0.12267,                0.78657,                0.96301,                0.95633,                 0.9853,                0.98266,                0.94509,                0.93861,                0.95945,                0.95567,                0.13858,                0.35095,                0.12531,                0.77136,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.17206,                0.22093,                0.12103,                0.78657,                0.95799,                0.95667,                0.98034,                0.97872,                0.94027,                0.93894,                0.95708,                0.95405,                0.13686,                0.32593,                0.13113,                 0.7712,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.17211,                0.22388,                 0.1214,                0.78598,                0.95829,                0.95877,                0.97773,                0.97607,                0.93835,                0.93881,                0.95294,                0.94894,                0.13832,                0.29761,                0.12268,                0.77216,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.17239,                0.22182,                0.11828,                0.78349,                0.95193,                0.93106,                0.97763,                0.97606,                 0.9331,                0.91223,                0.95225,                0.94977,                0.13676,                  0.306,                0.12583,                0.77018,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.17024,                0.22002,                0.11738,                0.78356,                0.94383,                0.93922,                0.97763,                0.97615,                0.92612,                0.92149,                0.95182,                0.94897,                0.13642,                 0.3144,                0.12608,                0.77032,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                 0.1712,                0.21749,                0.11647,                0.78367,                0.96099,                0.92807,                  0.981,                0.98053,                 0.9429,                0.91056,                0.95434,                 0.9504,                0.13526,                 0.3251,                0.12537,                0.76994,             2.1277e-05,             2.1277e-05,             2.1277e-05
